Date,Close,Open,High,Low
5/30/2019,9290.4,"9,232.90","9,290.40","9,232.90"
5/31/2019,9204.1,"9,261.70","9,290.40","8,916.50"
6/3/2019,8916.5,"9,089.10","9,520.50","8,916.50"
6/4/2019,9002.8,"9,089.10","9,089.10","8,916.50"
6/5/2019,9031.6,"9,204.10","9,204.10","9,031.60"
6/6/2019,9060.3,"9,031.60","9,089.10","8,916.50"
6/7/2019,9146.6,"9,002.80","9,175.40","9,002.80"
6/10/2019,9117.8,"9,204.10","9,261.70","9,117.80"
6/11/2019,9175.4,"9,204.10","9,204.10","9,060.30"
6/12/2019,9204.1,"9,175.40","9,204.10","9,089.10"
6/13/2019,9263.5,"9,263.50","9,322.90","9,174.40"
6/14/2019,9263.5,"9,204.10","9,322.90","8,847.80"
6/17/2019,9026,"9,115.10","9,293.20","9,026.00"
6/18/2019,9174.4,"9,085.40","9,174.40","8,877.50"
6/19/2019,9144.8,"9,174.40","9,174.40","8,966.60"
6/20/2019,9233.8,"9,144.80","9,263.50","9,115.10"
6/21/2019,9263.5,"9,233.80","9,263.50","9,144.80"
6/24/2019,9233.8,"9,263.50","9,293.20","9,144.80"
6/25/2019,9204.1,"9,233.80","9,233.80","9,144.80"
6/26/2019,9174.4,"9,174.40","9,174.40","9,055.70"
6/27/2019,9115.1,"9,174.40","9,174.40","8,966.60"
6/28/2019,9144.8,"9,115.10","9,144.80","8,966.60"
7/1/2019,9174.4,"9,263.50","9,263.50","9,115.10"
7/2/2019,9026,"9,174.40","9,204.10","9,026.00"
7/3/2019,8966.6,"9,026.00","9,026.00","8,847.80"
7/4/2019,9055.7,"8,966.60","9,085.40","8,877.50"
7/5/2019,9085.4,"9,085.40","9,085.40","8,907.20"
7/8/2019,9026,"9,026.00","9,055.70","8,907.20"
7/9/2019,8996.3,"8,966.60","8,996.30","8,847.80"
7/10/2019,8966.6,"8,936.90","9,026.00","8,936.90"
7/11/2019,8996.3,"8,936.90","9,026.00","8,936.90"
7/12/2019,8877.5,"9,026.00","9,055.70","8,877.50"
7/15/2019,8877.5,"8,877.50","8,936.90","8,818.20"
7/16/2019,8966.6,"8,907.20","8,996.30","8,877.50"
7/17/2019,9115.1,"8,966.60","9,174.40","8,966.60"
7/18/2019,9055.7,"9,085.40","9,115.10","8,996.30"
7/19/2019,9085.4,"9,055.70","9,115.10","9,026.00"
7/22/2019,8907.2,"8,936.90","9,026.00","8,877.50"
7/23/2019,8907.2,"8,907.20","9,026.00","8,788.50"
7/24/2019,8877.5,"8,907.20","8,907.20","8,669.70"
7/25/2019,8847.8,"8,818.20","8,847.80","8,669.70"
7/26/2019,8847.8,"8,847.80","8,847.80","8,669.70"
7/29/2019,8818.2,"8,847.80","8,847.80","8,669.70"
7/30/2019,8788.5,"8,818.20","8,818.20","8,699.40"
7/31/2019,8788.5,"8,788.50","8,788.50","8,640.00"
8/1/2019,8758.8,"8,788.50","8,818.20","8,699.40"
8/2/2019,8788.5,"8,669.70","8,788.50","8,580.60"
8/5/2019,8758.8,"8,788.50","8,788.50","8,669.70"
8/6/2019,8729.1,"8,640.00","8,729.10","8,491.60"
8/7/2019,8699.4,"8,758.80","8,758.80","8,550.90"
8/8/2019,8669.7,"8,550.90","8,669.70","8,550.90"
8/9/2019,8669.7,"8,729.10","8,729.10","8,610.30"
8/12/2019,8669.7,"8,699.40","8,699.40","8,640.00"
8/13/2019,8610.3,"8,610.30","8,669.70","8,521.30"
8/14/2019,8610.3,"8,610.30","8,699.40","8,580.60"
8/15/2019,8699.4,"8,550.90","8,699.40","8,402.50"
8/16/2019,8729.1,"8,699.40","9,115.10","8,550.90"
8/19/2019,8729.1,"8,729.10","8,907.20","8,729.10"
8/20/2019,8699.4,"8,847.80","8,847.80","8,699.40"
8/21/2019,8640,"8,669.70","8,699.40","8,610.30"
8/22/2019,8669.7,"8,699.40","8,699.40","8,580.60"
8/23/2019,8550.9,"8,669.70","8,669.70","8,550.90"
8/26/2019,8491.6,"8,521.30","8,550.90","8,402.50"
8/27/2019,8283.7,"8,550.90","8,550.90","8,283.70"
8/28/2019,8343.1,"8,283.70","8,372.80","8,254.00"
8/29/2019,8313.4,"8,343.10","8,402.50","8,075.90"
8/30/2019,8313.4,"8,343.10","8,343.10","8,194.70"
9/3/2019,8254,"8,313.40","8,313.40","8,135.30"
9/4/2019,8194.7,"8,224.30","8,224.30","8,046.20"
9/5/2019,8165,"8,194.70","8,194.70","8,046.20"
9/6/2019,8165,"7,719.60","8,165.00","7,719.60"
